time,seconds_elapsed,AccZ,AccY,AccX
1730559849126257700,43.609257568359375,10.145867347717285,2.4951157569885254,-0.07657032459974289
1730559849136248800,43.619248779296875,10.507482528686523,2.3539392948150635,-0.1746760457754135
1730559849146274600,43.62927465820312,10.610373497009277,2.29142689704895,-0.00687936507165432
1730559849156339000,43.6393388671875,10.392626762390137,2.312962293624878,0.1701895147562027
1730559849166368300,43.6493681640625,10.078569412231445,2.435295343399048,0.31405797600746155
1730559849176383500,43.65938354492187,9.781559944152832,2.6198415756225586,0.46719861030578613
1730559849186411500,43.66941162109375,9.530014038085938,2.717947483062744,0.778863787651062
1730559849196455400,43.679455322265625,9.42473030090332,2.8567311763763428,0.9678967595100403
1730559849206485000,43.68948510742187,9.379266738891602,2.9838497638702393,1.0447661876678467
1730559849216505900,43.699505859375,9.352945327758789,3.0317063331604004,1.2409776449203491
1730559849226534700,43.70953466796875,9.276076316833496,3.13220477104187,1.5020943880081177
1730559849236564000,43.71956396484375,9.103793144226074,3.168396234512329,1.6483557224273682
1730559849246592800,43.7295927734375,8.995817184448242,3.1779675483703613,1.6483557224273682
1730559849256600600,43.7396005859375,8.967103004455566,3.199502944946289,1.6555341482162476
1730559849266627300,43.74962744140625,8.924032211303711,3.2401809692382812,1.612463355064392
1730559849276658700,43.75965869140625,8.921639442443848,3.2162528038024902,1.6028920412063599
1730559849286685700,43.769685791015625,8.952746391296387,3.2090742588043213,1.5693925619125366
1730559849296736800,43.77973681640625,9.012566566467285,3.1441688537597656,1.5068800449371338
1730559849306766300,43.789766357421875,9.177969932556152,3.06999135017395,1.4398809671401978
1730559849316788200,43.79978833007812,9.33141040802002,3.0412776470184326,1.4207384586334229
1730559849326817000,43.809817138671875,9.477372169494629,3.0340991020202637,1.430309772491455
1730559849336839400,43.81983935546875,9.486943244934082,3.091526746749878,1.4997016191482544
1730559849346867500,43.82986743164062,9.451051712036133,3.081955671310425,1.6579270362854004
1730559849356906200,43.83990625,9.429515838623047,3.0963125228881836,1.6866408586502075
1730559849366935600,43.849935546875,9.32183837890625,3.084348440170288,1.6172490119934082
1730559849376949500,43.859949462890626,9.27846908569336,3.012563705444336,1.5550355911254883
1730559849386977300,43.869977294921874,9.427123069763184,2.964707374572754,1.456630825996399
1730559849396989700,43.87998974609375,9.618847846984863,2.9240293502807617,1.3537393808364868
1730559849407016000,43.890015869140626,9.795916557312012,2.885744094848633,1.3848460912704468
1730559849417078000,43.900078125,9.8871431350708,2.8567311763763428,1.5598212480545044
1730559849427107600,43.91010766601563,9.819845199584961,2.9383862018585205,1.729711651802063
1730559849437132500,43.92013256835938,9.527621269226074,3.0077781677246094,1.832902193069458
1730559849447161600,43.93016162109375,9.1085786819458,3.0891339778900146,1.8592232465744019
1730559849457189600,43.94018969726562,8.854640007019043,3.1492536067962646,1.760818362236023
1730559849467218700,43.95021875,8.811569213867188,3.1612179279327393,1.5646069049835205
1730559849477220600,43.960220703125,8.943174362182617,3.13220477104187,1.2529417276382446
1730559849487247000,43.9702470703125,9.1683988571167,3.0795626640319824,0.9439685344696045
1730559849497299000,43.980298828125,9.41037368774414,3.014956474304199,0.6804589629173279
1730559849507328000,43.990327880859375,9.652347564697266,2.9312076568603516,0.5799604058265686
1730559849517357300,44.000357421875,9.774381637573242,2.873480796813965,0.747757077217102
1730559849527386400,44.010386474609376,9.781559944152832,2.8543384075164795,0.9415757060050964
1730559849537417000,44.0204169921875,9.719346046447754,2.820838689804077,1.0328021049499512
1730559849547446000,44.030446044921874,9.626026153564453,2.811267614364624,1.2098709344863892
1730559849557475600,44.0404755859375,9.5324068069458,2.8471598625183105,1.4638092517852783
1730559849567505000,44.0505048828125,9.458230018615723,2.8977081775665283,1.6244274377822876
1730559849577490700,44.06049072265625,9.412766456604004,2.950350284576416,1.7177475690841675
1730559849587515600,44.070515625,9.24736213684082,3.014956474304199,1.7727824449539185
1730559849597584000,44.080583984375,9.060722351074219,3.077169895172119,1.7847466468811035
1730559849607613000,44.09061303710938,8.9312105178833,3.084348440170288,1.8400806188583374
1730559849617619200,44.100619140625,8.847461700439453,3.1130621433258057,1.8089739084243774
1730559849627646000,44.11064599609375,8.809176445007324,3.129812002182007,1.8062820434570312
1730559849637684500,44.1206845703125,8.785248756408691,3.1178479194641113,1.7727824449539185
1730559849647712800,44.130712646484376,8.734700202941895,3.1178479194641113,1.7153546810150146
1730559849657741300,44.1407412109375,8.732307434082031,3.0652058124542236,1.6196417808532715
1730559849667769300,44.15076928710938,8.890532493591309,3.0005996227264404,1.4925230741500854
1730559849677800000,44.16080004882812,9.103793144226074,2.926422119140625,1.3561322689056396
1730559849687828200,44.170828125,9.304789543151855,2.888136863708496,1.236191987991333
1730559849697855200,44.180855224609374,9.43190860748291,2.8064818382263184,1.236191987991333
1730559849707883300,44.19088330078125,9.429515838623047,2.801696300506592,1.2553346157073975
1730559849717910000,44.200909912109374,9.369695663452148,2.801696300506592,1.2146565914154053
1730559849727938000,44.21093798828125,9.398408889770508,2.787339210510254,1.1668001413345337
1730559849737967600,44.22096752929688,9.508479118347168,2.825624465942383,1.212263822555542
1730559849747995600,44.23099560546875,9.637990951538086,2.888136863708496,1.3154542446136475
1730559849758026200,44.24102612304687,9.599705696105957,2.988635540008545,1.363310694694519
1730559849768054800,44.2510546875,9.396016120910645,3.0580272674560547,1.4709876775741577
1730559849778086000,44.2610859375,9.249754905700684,3.060420274734497,1.5332010984420776
